Line no. 	 Token no. 		 Token 		 Lexeme

      1		       1		 Keyword		 include
      1		       2		 Keyword		   stdio
      1		       3		 Identifier		       h
      2		       4		 Keyword		     int
      2		       5		 Keyword		    main
      2		       6		 Punctuations	       )
      2		       7		 Punctuations	       {
      3		       8		 Keyword		     int
      3		       9		 Identifier		       a
      3		      10		 Operator		       =
      3		      11		 Literals		       1
      3		      12		 Punctuations	       ;
      4		      13		 Identifier		  printf
      4		      14		 Identifier		   Hello
      4		      15		 Identifier		   World
      4		      16		 Punctuations	       )
      4		      17		 Punctuations	       ;
      5		      18		 Punctuations	       }
